"state","violation_raw","violation","violation_clean"
"CO","Drove (Motor/Off-highway) Vehicle upon Highway When (License/Privilege to Drive) was Restrained for Express Consent or Alcohol/Drug Related Offense","Drove (Motor/Off-highway) Vehicle upon Highway When (License/Privilege to Drive) was Restrained for Express Consent or Alcohol/Drug Related Offense","License"
"CO","Drove (Motor/Off-highway) Vehicle When License Under Restraint (Denied)","Drove (Motor/Off-highway) Vehicle When License Under Restraint (Denied)","License"
"CO","Drove (Motor/Off-highway) Vehicle When License Under Restraint (Revoked)","Drove (Motor/Off-highway) Vehicle When License Under Restraint (Revoked)","License"
"CO","Drove (Motor/Off-highway) Vehicle When License Under Restraint (Suspended)","Drove (Motor/Off-highway) Vehicle When License Under Restraint (Suspended)","License"
"CO","Drove a (Defective/Unsafe) Vehicle","Drove a (Defective/Unsafe) Vehicle","Equipment"
"CO","Drove Unauthorized Vehicle In High Occupancy Lane","Drove Unauthorized Vehicle In High Occupancy Lane","Moving violation"
"CO","Drove Vehicle Improperly on Mountain Highway","Drove Vehicle Improperly on Mountain Highway","Safe movement"
"CO","Drove Vehicle in Passing Lane When Prohibited (Posted 65 MPH or more roadway)","Drove Vehicle in Passing Lane When Prohibited (Posted 65 MPH or more roadway)","Safe movement"
"CO","Drove Vehicle When Driver's License Expired One Year or Less","Drove Vehicle When Driver's License Expired One Year or Less","License"
"CO","Drove Vehicle When Front Seat Passenger Not Secured By Safety Belt","Drove Vehicle When Front Seat Passenger Not Secured By Safety Belt","Seat belt"
"CO","Drove Vehicle When License Revoked as an Habitual Offender","Drove Vehicle When License Revoked as an Habitual Offender","License"
"CO","Drove Vehicle When Safety Belt Not in Use","Drove Vehicle When Safety Belt Not in Use","Seat belt"
"CO","Drove Vehicle While Ability Impaired by Alcohol or Drugs or Both","Drove Vehicle While Ability Impaired by Alcohol or Drugs or Both","DUI"
"CO","Drove Vehicle While Under FRA Suspension","Drove Vehicle While Under FRA Suspension","Registration/plates"
"CO","Drove Vehicle While Under the Influence of Alcohol or Drugs or Both","Drove Vehicle While Under the Influence of Alcohol or Drugs or Both","DUI"
"CO","Drove Vehicle While Wearing Earphones","Drove Vehicle While Wearing Earphones","Safe movement"
"CO","Drove Vehicle With Blood Alcohol Content of 0.08 or More","Drove Vehicle With Blood Alcohol Content of 0.08 or More","DUI"
"CO","Drove Vehicle Without Valid Driver's License (Resident more than 30 days)","Drove Vehicle Without Valid Driver's License (Resident more than 30 days)","License"
"CO","Drove Vehicle Without Valid Driver's License on Person","Drove Vehicle Without Valid Driver's License on Person","License"
"CO","Drove Vehicle Without Valid Driver's License","Drove Vehicle Without Valid Driver's License","License"
"CO","Exceeded Safe Speed for Conditions (indicate actual speed/safe speed)","Exceeded Safe Speed for Conditions (indicate actual speed/safe speed)","Speeding"
"CO","Exceeded Safe Speed for Conditions (Indicate actual speed/safe speed)","Exceeded Safe Speed for Conditions (Indicate actual speed/safe speed)","Speeding"
"CO","Failed to (Provide/Properly Use) An Approved Child Restraint System (4 - 5 Years of Age/Less Than Fifty-five Inches Tall) (Secondary Offense)","Failed to (Provide/Properly Use) An Approved Child Restraint System (4 - 5 Years of Age/Less Than Fifty-five Inches Tall) (Secondary Offense)","Seat belt"
"CO","Failed to (Provide/Properly Use) An Approved Child Restraint System (4 - 7 Years of Age) (Primary Offense)","Failed to (Provide/Properly Use) An Approved Child Restraint System (4 - 7 Years of Age) (Primary Offense)","Seat belt"
"CO","Failed to (Provide/Properly Use) Forward Facing Child Restraint System (1 - 3 Years of Age/More Than 20 lbs but Less Than 40 lbs) (Primary)","Failed to (Provide/Properly Use) Forward Facing Child Restraint System (1 - 3 Years of Age/More Than 20 lbs but Less Than 40 lbs) (Primary)","Seat belt"
"CO","Failed to (Provide/Properly Use) Seatbelt/Child Restraint 8-15 Years of Age","Failed to (Provide/Properly Use) Seatbelt/Child Restraint 8-15 Years of Age","Seat belt"
"CO","Failed to (Provide/Use) An Approved Child Restraint System ( 0 to 4 Years of Age)","Failed to (Provide/Use) An Approved Child Restraint System ( 0 to 4 Years of Age)","Seat belt"
"CO","Failed to Dim Lights When Approaching an Oncoming Vehicle","Failed to Dim Lights When Approaching an Oncoming Vehicle","Safe movement"
"CO","Failed to Dim Lights When Following Another Vehicle","Failed to Dim Lights When Following Another Vehicle","Safe movement"
"CO","Failed to Display Lamps When Required","Failed to Display Lamps When Required","Lights"
"CO","Failed to Display Valid Registration","Failed to Display Valid Registration","Registration/plates"
"CO","Failed to Drive in Designated Lane","Failed to Drive in Designated Lane","Safe movement"
"CO","Failed to Drive in Single Lane (Weaving)","Failed to Drive in Single Lane (Weaving)","Safe movement"
"CO","Failed to Notify Authorities of Change of (Name/Address) Within 30 Days","Failed to Notify Authorities of Change of (Name/Address) Within 30 Days","Paperwork"
"CO","Failed to Notify Authorities of Change of Name or Address/Vehicle Body Color","Failed to Notify Authorities of Change of Name or Address/Vehicle Body Color","Paperwork"
"CO","Failed to Notify Authorities within 30 Days of Change of Name or Address","Failed to Notify Authorities within 30 Days of Change of Name or Address","Paperwork"
"CO","Failed to Notify Police of Accident","Failed to Notify Police of Accident","Other"
"CO","Failed to Obey Traffic Control Signal","Failed to Obey Traffic Control Signal","Safe movement"
"CO","Failed to Obtain Valid Colorado Registration Within 90 Days After Becoming a Resident","Failed to Obtain Valid Colorado Registration Within 90 Days After Becoming a Resident","Registration/plates"
"CO","Failed to Present Evidence of Insurance Upon Request","Failed to Present Evidence of Insurance Upon Request","Paperwork"
"CO","Failed to Sign Affirmation of Insurance","Failed to Sign Affirmation of Insurance","Paperwork"
"CO","Failed to Stop for Traffic Control Signal at Place Required","Failed to Stop for Traffic Control Signal at Place Required","Stop sign/light"
"CO","Failed to Use Turn Signals","Failed to Use Turn Signals","Safe movement"
"CO","Failed to Yield Right-of-Way to a Stationary Emergency Vehicle","Failed to Yield Right-of-Way to a Stationary Emergency Vehicle","Safe movement"
"CO","Failed to Yield Right-of-Way When Proceeding From Stop Sign","Failed to Yield Right-of-Way When Proceeding From Stop Sign","Safe movement"
"CO","Failed to Yield Right-of-Way When Turning Left in Front of Approaching Traffic","Failed to Yield Right-of-Way When Turning Left in Front of Approaching Traffic","Safe movement"
"CO","Federal Truck Inspection","Federal Truck Inspection","Truck"
"CO","Following Too Closely","Following Too Closely","Safe movement"
"CO","Illegal (Possession/Consumption) of Ethyl Alcohol By an Underage Person (Applicable Anywhere)","Illegal (Possession/Consumption) of Ethyl Alcohol By an Underage Person (Applicable Anywhere)","DUI"
"CO","Impeded Normal Flow of Traffic","Impeded Normal Flow of Traffic","Safe movement"
"CO","Improper Starting From (Parked/Stopped) Position","Improper Starting From (Parked/Stopped) Position","Safe movement"
"CO","Improper Use of Flashing Turn Signal","Improper Use of Flashing Turn Signal","Safe movement"
"CO","Left Scene Without Providing Required Information After Striking Unattended (Vehicle/Property)","Left Scene Without Providing Required Information After Striking Unattended (Vehicle/Property)","Other"
"CO","Made Left Turn From Wrong (Position/Lane)","Made Left Turn From Wrong (Position/Lane)","Safe movement"
"CO","Made Turn Where Prohibited by Traffic Control Device","Made Turn Where Prohibited by Traffic Control Device","Safe movement"
"CO","Material on (Windshield/Front Side Windows) Presented (Nontransparent/Metallic/Mirrored) Appearance (Note: Metallic/Mirrored Applies to Any Window)","Material on (Windshield/Front Side Windows) Presented (Nontransparent/Metallic/Mirrored) Appearance (Note: Metallic/Mirrored Applies to Any Window)","Equipment"
"CO","Motorist Assist","Motorist Assist","Other"
"CO","No Registration Card in Vehicle","No Registration Card in Vehicle","Registration/plates"
"CO","Number Plate Obstructed by (Distorted/Colored/Smoked/Tinted/ Scratched/Dirty) Device","Number Plate Obstructed by (Distorted/Colored/Smoked/Tinted/ Scratched/Dirty) Device","Registration/plates"
"CO","Number Plate(s) Improperly Attached","Number Plate(s) Improperly Attached","Registration/plates"
"CO","Operated a Vehicle With (Improper/Unsafe) Tires","Operated a Vehicle With (Improper/Unsafe) Tires","Equipment"
"CO","Operated an Uninsured Motor Vehicle on a Public Roadway","Operated an Uninsured Motor Vehicle on a Public Roadway","Paperwork"
"CO","Operated Vehicle With Defective Headlamps","Operated Vehicle With Defective Headlamps","Lights"
"CO","Operated Vehicle With Defective/Missing Headlamps","Operated Vehicle With Defective/Missing Headlamps","Lights"
"CO","Other","Other","Other"
"CO","Owner Operated an Uninsured Motor Vehicle on a Public Roadway","Owner Operated an Uninsured Motor Vehicle on a Public Roadway","Paperwork"
"CO","Passed on Left When Prohibited By (Signs/ Markings)","Passed on Left When Prohibited By (Signs/ Markings)","Safe movement"
"CO","Passed on Left When Prohibited By (Signs/Markings)","Passed on Left When Prohibited By (Signs/Markings)","Safe movement"
"CO","Passed on Right When (Not Permitted/Not Safe)","Passed on Right When (Not Permitted/Not Safe)","Safe movement"
"CO","Pedestrian","Pedestrian","Other"
"CO","Person 18 and Over Engaged in Text Messaging While Operating a Motor Vehicle","Person 18 and Over Engaged in Text Messaging While Operating a Motor Vehicle","Cell phone"
"CO","Possession of 1 oz or Less of Marijuana","Possession of 1 oz or Less of Marijuana","Other"
"CO","Possession of Drug Paraphernalia","Possession of Drug Paraphernalia","Other"
"CO","Reckless Driving","Reckless Driving","Safe movement"
"CO","Speeding (10-19 MPH Over Posted Limit in Construction/School Zone)","Speeding (10-19 MPH Over Posted Limit in Construction/School Zone)","Speeding"
"CO","Speeding (10-19 MPH Over Posted Limit in Safety Zone)","Speeding (10-19 MPH Over Posted Limit in Safety Zone)","Speeding"
"CO","Speeding (10-19 MPH Over Prima Facie Limit *)","Speeding (10-19 MPH Over Prima Facie Limit *)","Speeding"
"CO","Speeding (10-19 MPH Over Prima Facie Limit)","Speeding (10-19 MPH Over Prima Facie Limit)","Speeding"
"CO","Speeding (10-19 MPH Over the Maximum 75 MPH Limit)","Speeding (10-19 MPH Over the Maximum 75 MPH Limit)","Speeding"
"CO","Speeding (20-24 MPH Over Prima Facie Limit *)","Speeding (20-24 MPH Over Prima Facie Limit *)","Speeding"
"CO","Speeding (20-24 MPH Over Prima Facie Limit)","Speeding (20-24 MPH Over Prima Facie Limit)","Speeding"
"CO","Speeding (20-24 MPH Over the Maximum 75 MPH Limit)","Speeding (20-24 MPH Over the Maximum 75 MPH Limit)","Speeding"
"CO","Speeding (25 MPH or more Over Prima Facie Limit*)","Speeding (25 MPH or more Over Prima Facie Limit*)","Speeding"
"CO","Speeding (25-39 MPH Over Prima Facie Limit *)","Speeding (25-39 MPH Over Prima Facie Limit *)","Speeding"
"CO","Speeding (25-39 MPH Over Prima Facie Limit)","Speeding (25-39 MPH Over Prima Facie Limit)","Speeding"
"CO","Speeding (25-39 MPH Over the Maximum 75 MPH Limit)","Speeding (25-39 MPH Over the Maximum 75 MPH Limit)","Speeding"
"CO","Speeding (5-9 MPH Over Posted Limit in Construction/School Zone)","Speeding (5-9 MPH Over Posted Limit in Construction/School Zone)","Speeding"
"CO","Speeding (5-9 MPH Over Posted Limit in Safety Zone)","Speeding (5-9 MPH Over Posted Limit in Safety Zone)","Speeding"
"CO","Speeding (5-9 MPH Over Prima Facie Limit *)","Speeding (5-9 MPH Over Prima Facie Limit *)","Speeding"
"CO","Speeding (5-9 MPH Over Prima Facie Limit)","Speeding (5-9 MPH Over Prima Facie Limit)","Speeding"
"CO","Speeding (5-9 MPH Over the Maximum 75 MPH Limit)","Speeding (5-9 MPH Over the Maximum 75 MPH Limit)","Speeding"
"CO","Spilled Load on Highway/Failed to Cover Load/No Flaps When Required","Spilled Load on Highway/Failed to Cover Load/No Flaps When Required","Truck"
"CO","Vehicle Had (Defective/improper/No) Mufflers","Vehicle Had (Defective/improper/No) Mufflers","Equipment"
"CO","Vehicle Had (Defective/No) Stop Light(s)","Vehicle Had (Defective/No) Stop Light(s)","Lights"
"CO","Vehicle Had (No/Defective) License Plate Lamps","Vehicle Had (No/Defective) License Plate Lamps","Lights"
"CO","Vehicle Had No Number Plates Attached","Vehicle Had No Number Plates Attached","Registration/plates"
"CO","Vehicle Had Only One Number Plate Attached","Vehicle Had Only One Number Plate Attached","Registration/plates"
"CO","Vehicle Not Equipped With Tail Lamps as Required","Vehicle Not Equipped With Tail Lamps as Required","Lights"
"CO","Vehicle Not Equipped With Turn Signals as Required","Vehicle Not Equipped With Turn Signals as Required","Lights"
"CO","Vehicle Number Plates Not Clearly (Legible/Visible)","Vehicle Number Plates Not Clearly (Legible/Visible)","Registration/plates"
"CO","Vehicle Validation Tab/Sticker Improperly Attached","Vehicle Validation Tab/Sticker Improperly Attached","Registration/plates"
"CO","VIN Inspection","VIN Inspection","Registration/plates"
"CO","Violated Restrictions on Temporary Instruction Permit","Violated Restrictions on Temporary Instruction Permit","License"
"CT","Cell Phone","Cell Phone","Cell phone"
"CT","Defective Lights","Defective Lights","Lights"
"CT","Display of Plates","Display of Plates","Registration/plates"
"CT","Equipment Violation","Equipment Violation","Equipment"
"CT","Moving Violation","Moving Violation","Moving violation"
"CT","Other","Other","Other"
"CT","Other/Error","Other/Error","Other"
"CT","Registration","Registration","Registration/plates"
"CT","Seatbelt","Seatbelt","Seat belt"
"CT","Speed Related","Speed Related","Speeding"
"CT","Stop Sign","Stop Sign","Stop sign/light"
"CT","Suspended License","Suspended License","License"
"CT","Traffic Control Signal","Traffic Control Signal","Safe movement"
"CT","Window Tint","Window Tint","Equipment"
"IA","100584","NO VALID DRIVERS LICENSE","License"
"IA","100596","FAILURE TO PROVIDE PROOF OF FINANCIAL LIABILITY","Paperwork"
"IA","100651","SPEEDING 55 OR UND ZONE (1 THRU 5 OVER)","Speeding"
"IA","100652","SPEEDING 55 OR UND ZONE (6 THRU 10 OVER)","Speeding"
"IA","100653","SPEEDING 55 OR UND ZONE (11 THRU 15 OVER)","Speeding"
"IA","100656","SPEEDING OVR 55 ZONE (1THRU 5 OVER)","Speeding"
"IA","100657","SPEEDING OVR 55 ZONE (6THRU 10 OVER)","Speeding"
"IA","100658","SPEEDING OVR 55 ZONE (11THRU 15 OVER)","Speeding"
"IA","100776","DARK WINDOW OR WINDSHIELD","Equipment"
"IA","100783","FAILURE TO MAINTAIN OR USE SAFETY BELTS - ADULT","Seat belt"
"IA","100889","OPERATION WITHOUT REGISTRATION CARD OR PLATE","Registration/plates"
"IA","123.47(3)(a)(1)","(3)POSSESS/PURCHASE/OPEN CONTAINER OF ALCOHOL BY PERSON 18-20 YOA 1ST OFFENSE","Other"
"IA","285","SPEED","Speeding"
"IA","321.","<NA>",NA
"IA","321.174","FAILURE TO HAVE VALID LICENSE/PERMIT WHILE OPER. MOTOR VEH.","License"
"IA","321.174(1)","FAILURE TO HAVE VALID LICENSE/PERMIT WHILE OPER. MOTOR VEH.","License"
"IA","321.174A","OPERATION OF MOTOR VEHICLE WITH EXPIRED LICENSE","License"
"IA","321.20b","INSURANCE","Paperwork"
"IA","321.20B","VIOLATION - FINANCIAL LIABILITY COVERAGE","Paperwork"
"IA","321.20b-a","INS CARD","Paperwork"
"IA","321.20B-A","VIOLATION - FINANCIAL LIABILITY COVERAGE","Paperwork"
"IA","321.218","DRIVING WHILE LICENSE DENIED,SUSP,CANCELLED OR REVOKED","License"
"IA","321.256","FAIL TO OBEY TRAFFIC CONTROL DEVICE","Safe movement"
"IA","321.284","OPEN CONTAINER - DRIVER 21 AND OVER","Other"
"IA","321.284A","OPEN CONTAINER - PASSENGER","Other"
"IA","321.285","SPEED","Speeding"
"IA","321.285-A","SPEEDING 55 OR < (1 THRU 5 OVER)","Speeding"
"IA","321.285-B","SPEEDING 55 OR < (6 THRU 10 OVER)","Speeding"
"IA","321.285-C","SPEEDING 55 OR < (11 THRU 15 OVER)","Speeding"
"IA","321.285-D","SPEEDING 55 OR < (16 THRU 20)","Speeding"
"IA","321.285-E","SPEEDING 55 OR < (20 MPH OVER + $5.00 EA. MILE)","Speeding"
"IA","321.285-F","SPEEDING > 55 (1 THRU 5 OVER)","Speeding"
"IA","321.285-G","SPEEDING > 55 (6 THRU 10 OVER)","Speeding"
"IA","321.285-H","SPEEDING > 55 (11 THRU 15 OVER)","Speeding"
"IA","321.285-I","SPEEDING > 55 (16 THRU 20)","Speeding"
"IA","321.285-J","SPEEDING > 55 (20 MPH OVER + $5.00 EA MILE)","Speeding"
"IA","321.285-K","SPEEDING - ROAD WORK ZONES (1 THRU 10 OVER)","Speeding"
"IA","321.285/20B","SPEED/INSURANCE","Speeding"
"IA","321.288","FAIL TO MAINTAIN CONTROL","Safe movement"
"IA","321.288(1)","FAIL TO MAINTAIN CONTROL","Safe movement"
"IA","321.297","DRIVING ON WRONG SIDE OF TWO WAY HIGHWAY","Safe movement"
"IA","321.306","IMPROPER USE OF LANES","Registration/plates"
"IA","321.307","FOLLOWING TOO CLOSE","Safe movement"
"IA","321.315","FAIL TO GIVE CONTINUOUS TURN SIGNAL","Safe movement"
"IA","321.32","FAIL TO CARRY REGISTRATION CARD","Registration/plates"
"IA","321.322","STOP SIGN","Stop sign/light"
"IA","321.322(1)","FAIL TO OBEY STOP SIGN AND YIELD RIGHT OF WAY","Stop sign/light"
"IA","321.323A","UNSAFE APPROACH TO CERTAIN STATIONARY VEHICLES","Safe movement"
"IA","321.324","FAIL TO YIELD TO EMERGENCY VEHICLE","Safe movement"
"IA","321.34","REGISTRATION VIOLATION","Registration/plates"
"IA","321.366","IMPROPER USE OF MEDIAN, CURB, OR ACC FACILITY","Safe movement"
"IA","321.37","FAIL TO DISPLAY REGISTRATION PLATE","Registration/plates"
"IA","321.38","FAIL TO MAINTAIN REGISTRATION PLATE","Registration/plates"
"IA","321.384","FAIL TO USE HEADLAMPS WHEN REQUIRED","Safe movement"
"IA","321.385","INSUFFICIENT NUMBER OF HEADLAMPS","Lights"
"IA","321.387","IMPROPER REAR LAMP","Lights"
"IA","321.388","IMPROPER REGISTRATION PLATE LAMP","Registration/plates"
"IA","321.404","IMPROPER BRAKE LIGHT","Lights"
"IA","321.404A","USE OF LIGHT RESTRICTING DEVICE","Safe movement"
"IA","321.41","FAIL TO GIVE NOTICE OF ADDRESS/NAME CHANGE","Paperwork"
"IA","321.415","FAILURE TO DIM","Safe movement"
"IA","321.436","DEFECTIVE OR UNAUTHORIZED MUFFLER SYSTEM","Equipment"
"IA","321.438","(2)DARK WINDOW/WINDSHIELD","Equipment"
"IA","321.438(2)","(2)DARK WINDOW/WINDSHIELD","Equipment"
"IA","321.438-A","(1,3)WINDSHIELD/WINDOW REQUIREMENTS -","Equipment"
"IA","321.438-B","(2)DARK WINDOW/WINDSHIELD -","Equipment"
"IA","321.445","FAIL TO WEAR/MAINTAIN SAFETY BELTS","Seat belt"
"IA","321.446","FAILURE TO SECURE CHILD UNDER 18 YOA","Seat belt"
"IA","321.449-A","FAILURE TO COMPLY WITH SAFETY REG. RULES -","Safe movement"
"IA","321.449-C","FALSE REPORT OF DRIVERS RECORD OF DUTY STATUS","Paperwork"
"IA","321.561","DRIVING WHILE BARRED HABITUAL OFFENDER","License"
"IA","321.98","OPERATION W/O REGISTRATION","Registration/plates"
"IA","321.99","IMPROPER USE OF REGISTRATION","Registration/plates"
"IA","321285","SPEED","Speeding"
"IA","321A.32(1)","OPERATING VEH WHILE LIC SUSP (SR)","License"
"IA","321J.2(2)(a)","OPER VEH WH INT (OWI) / 1ST OFF","DUI"
"IA","321J.2(A)","OPER VEH WH INT (OWI) / 1ST OFF","DUI"
"IA","321J.21","DRIVING WHILE LICENSE DENIED OR REVOKED","License"
"IL","1,1","Moving Violation,Speed","Speeding"
"IL","1,2","Moving Violation,Lane Violation","Safe movement"
"IL","1,3","Moving Violation,Seat Belt","Seat belt"
"IL","1,4","Moving Violation,Traffic Sign or Signal","Safe movement"
"IL","1,5","Moving Violation,Follow too close","Safe movement"
"IL","1,6","Moving Violation,Other","Moving violation"
"IL","2,0","Equipment,Not applicable","Equipment"
"IL","3,0","License Plate/Registration,Not applicable","License"
"IL","4,0","Commercial Vehicle,Not applicable","Other"
"IL","Equipment,NA","Equipment,NA","Equipment"
"IL","Equipment,Speed","Equipment,Speed","Speeding"
"IL","License Plate/Registration,NA","License Plate/Registration,NA","Registration/plates"
"IL","License Plate/Registration,Speed","License Plate/Registration,Speed","Speeding"
"IL","Moving Violation,Follow too Close","Moving Violation,Follow too Close","Safe movement"
"IL","Moving Violation,Lane Violation","Moving Violation,Lane Violation","Safe movement"
"IL","Moving Violation,NA","Moving Violation,NA","Moving violation"
"IL","Moving Violation,Other","Moving Violation,Other","Moving violation"
"IL","Moving Violation,SeatBelt","Moving Violation,SeatBelt","Seat belt"
"IL","Moving Violation,Speed","Moving Violation,Speed","Speeding"
"IL","Moving Violation,Traffic Sign or Signal","Moving Violation,Traffic Sign or Signal","Safe movement"
"IL","NA,NA","NA,NA","NA"
"FL","NOT INDICATED","NOT INDICATED",NA
"FL","SPEED","SPEED","Speeding"
"FL","PROOF OF INSURANCE","PROOF OF INSURANCE","Paperwork"
"FL","FAULTY EQUIPMENT","FAULTY EQUIPMENT","Equipment"
"FL","SEATBELT (DRIVER)","SEATBELT (DRIVER)","Seat belt"
"FL","OTHER TAG / REGISTRATION VIOLATIONS","OTHER TAG / REGISTRATION VIOLATIONS","Registration/plates"
"FL","CMV INSPECTION","CMV INSPECTION","Truck"
"FL","VIOLATIONS OF TRAFFIC CONTROL DEVICE","VIOLATIONS OF TRAFFIC CONTROL DEVICE","Safe movement"
"FL","NO REGISTRATION","NO REGISTRATION","Registration/plates"
"FL","EXPIRED TAG (6 MONTHS OR LESS)","EXPIRED TAG (6 MONTHS OR LESS)","Truck"
"FL","OTHER MOVING VIOLATIONS","OTHER MOVING VIOLATIONS","Safe movement"
"FL","OTHER NON MOVING VIOLATIONS","OTHER NON MOVING VIOLATIONS","Other"
"FL","DRIVING WHILE LICENSE SUSPENDED / REVOKED","DRIVING WHILE LICENSE SUSPENDED / REVOKED","License"
"FL","WINDOW TINT","WINDOW TINT","Equipment"
"FL","OTHER DRIVERS LICENSE VIOLATIONS","OTHER DRIVERS LICENSE VIOLATIONS","License"
"FL","FAILURE TO EXHIBIT DL UPON DEMAND","FAILURE TO EXHIBIT DL UPON DEMAND","License"
"FL","MOVE OVER LAW","MOVE OVER LAW","Safe movement"
"FL","SEATBELT (PASSENGER)","SEATBELT (PASSENGER)","Seat belt"
"FL","IMPROPER CHANGE OF LANE OR COURSE","IMPROPER CHANGE OF LANE OR COURSE","Safe movement"
